[2024-04-16 02:22:06] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:22:06] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 02:22:08] [info] Gin log method:OPTIONS , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:22:08] [info] Gin log method:GET , path:/api/record/outdated/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 02:22:11] [info] Gin log method:OPTIONS , path:/api/game/gamelist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:22:11] [info] Gin log method:GET , path:/api/game/gamelist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 02:22:14] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:22:14] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 02:22:19] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:22:19] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 02:22:43] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:22:43] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 02:43:12] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:43:12] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:401 , tc:0ms
[2024-04-16 02:43:19] [info] Gin log method:OPTIONS , path:/user/login , status:204 , tc:0ms
[2024-04-16 02:43:19] [info] Gin log method:POST , path:/user/login , status:200 , tc:1ms
[2024-04-16 02:43:20] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:43:20] [info] Gin log method:GET , path:/api/stadiumlist?page=1&perPage=10 , status:200 , tc:0ms
[2024-04-16 02:43:22] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:43:22] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 02:43:26] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:43:26] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 02:43:54] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:43:54] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 02:44:21] [info] Gin log method:OPTIONS , path:/api/game/cancelapply , status:204 , tc:0ms
[2024-04-16 02:44:21] [info] Gin log method:POST , path:/api/game/cancelapply , status:200 , tc:10ms
[2024-04-16 02:44:21] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:44:21] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 02:44:25] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:44:25] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:5ms
[2024-04-16 02:45:07] [info] Gin log method:OPTIONS , path:/api/game/cancelapply , status:204 , tc:0ms
[2024-04-16 02:45:07] [info] Gin log method:POST , path:/api/game/cancelapply , status:200 , tc:12ms
[2024-04-16 02:45:07] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:45:07] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 02:48:14] [info] Gin log method:OPTIONS , path:/api/game/cancelapply , status:204 , tc:0ms
[2024-04-16 02:48:14] [info] Gin log method:POST , path:/api/game/cancelapply , status:200 , tc:6ms
[2024-04-16 02:48:14] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:48:14] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 02:49:57] [info] Gin log method:OPTIONS , path:/user/userinfo , status:204 , tc:0ms
[2024-04-16 02:49:57] [info] Gin log method:GET , path:/user/userinfo , status:200 , tc:3ms
[2024-04-16 02:50:02] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:50:02] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:3ms
[2024-04-16 02:53:23] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:53:23] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:5ms
[2024-04-16 02:53:29] [info] Gin log method:OPTIONS , path:/api/game/cancelapply , status:204 , tc:0ms
[2024-04-16 02:53:29] [info] Gin log method:POST , path:/api/game/cancelapply , status:200 , tc:11ms
[2024-04-16 02:53:29] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:53:29] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 02:53:33] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:53:33] [info] Gin log method:GET , path:/api/record/recordlist?page=1&perPage=10 , status:200 , tc:3ms
[2024-04-16 02:53:36] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:53:36] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:3ms
[2024-04-16 02:54:41] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 02:54:41] [info] Gin log method:GET , path:/api/game/applyrecord?page=1&perPage=10 , status:200 , tc:2ms
[2024-04-16 03:02:38] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 03:02:38] [info] Gin log method:GET , path:/api/game/applyrecord?date=2024-04-17&page=1&perPage=10 , status:200 , tc:1ms
[2024-04-16 03:02:41] [info] Gin log method:OPTIONS , path:/api/game/applyrecord?date=2024-04-16&page=1&perPage=10 , status:204 , tc:0ms
[2024-04-16 03:02:41] [info] Gin log method:GET , path:/api/game/applyrecord?date=2024-04-16&page=1&perPage=10 , status:200 , tc:1ms
