[2024-04-01 19:52:14] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=&$$id=8c497dc0bc73 , status:401 , tc:0ms
[2024-04-01 19:54:33] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:401 , tc:0ms
[2024-04-01 19:54:35] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:401 , tc:0ms
[2024-04-01 19:56:06] [info] Gin log method:OPTIONS , path:/user/login , status:204 , tc:0ms
[2024-04-01 19:56:06] [info] Gin log method:POST , path:/user/login , status:200 , tc:1ms
[2024-04-01 19:56:22] [info] Gin log method:OPTIONS , path:/user/login , status:204 , tc:0ms
[2024-04-01 19:56:22] [info] Gin log method:POST , path:/user/login , status:200 , tc:1ms
[2024-04-01 19:56:27] [info] Gin log method:OPTIONS , path:/api/record/recordlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:56:27] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:2ms
[2024-04-01 19:56:28] [info] Gin log method:GET , path:/api/record/recordlist?page=1 , status:200 , tc:1ms
[2024-04-01 19:57:09] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 19:57:09] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 19:57:14] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 19:57:14] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:57:14] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:57:14] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:1ms
[2024-04-01 19:57:21] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 19:57:21] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:57:21] [error] getStadiumBooked err = [<nil>]

[2024-04-01 19:57:21] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:1ms
[2024-04-01 19:57:52] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=&$$id=f1134f6deb47 , status:401 , tc:0ms
[2024-04-01 20:07:10] [info] Gin log method:OPTIONS , path:/api/stadiumlist?page=1 , status:204 , tc:0ms
[2024-04-01 20:07:10] [info] Gin log method:GET , path:/api/stadiumlist?page=1 , status:200 , tc:0ms
[2024-04-01 20:07:11] [info] Gin log method:OPTIONS , path:/api/stadium/allowabletimes?ID=1 , status:204 , tc:0ms
[2024-04-01 20:07:11] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:07:11] [error] getStadiumBooked err = [<nil>]

[2024-04-01 20:07:11] [info] Gin log method:GET , path:/api/stadium/allowabletimes?ID=1 , status:200 , tc:1ms
[2024-04-01 20:07:19] [info] Gin log method:OPTIONS , path:/api/stadium/order , status:204 , tc:0ms
[2024-04-01 20:07:19] [info] Gin log method:POST , path:/api/stadium/order , status:200 , tc:12ms
